"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",0
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",0
"49",0
"50",0
"51",0
"52",274.875
"53",288.921
"54",337.836
"55",336.108
"56",342.867
"57",320.997
"58",370.107
"59",439.974
"60",369.84
"61",474.606
"62",488.796
"63",628.404
"64",446.745
"65",439.818
"66",551.766
"67",817.845
"68",917.031
"69",916.032
"70",735.03
"71",614.589
"72",572.223
"73",534.69
"74",614.142
"75",958.956
"76",546.066
"77",468.735
"78",511.635
"79",376.458
"80",533.154
"81",383.916
"82",390.903
"83",341.1
"84",362.325
"85",369.294
"86",390.27
"87",396.537
"88",490.617
"89",433.647
"90",389.982
"91",394.257
"92",380.7
"93",387.96
"94",366.711
"95",353.07
"96",310.935
"97",296.571
"98",289.056
"99",275.514
"100",269.742
"101",283.644
"102",261.873
"103",295.863
"104",77.52
"105",0
"106",0
"107",0
"108",0
"109",0
"110",0
"111",0
"112",0
"113",0
"114",0
"115",0
"116",0
"117",0
"118",0
"119",0
"120",0
"121",0
"122",0
"123",0
"124",0
"125",0
"126",0
"127",0
"128",0
"129",0
"130",0
"131",0
"132",0
"133",0
"134",0
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
